Start Time,Url,Status Code,File Size,Operation,Time Delay,End Time,Elapsed Time
"19/09/2023, 13:55:47.144642",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=35,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:48.176840",1.0321979522705078
"19/09/2023, 13:55:48.223697",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=36,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:49.367401",1.159008502960205
"19/09/2023, 13:55:49.429564",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=37,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:50.305349",0.8757851123809814
"19/09/2023, 13:55:50.383143",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=38,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:51.617595",1.234452247619629
"19/09/2023, 13:55:51.695643",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=39,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:53.149106",1.4534635543823242
"19/09/2023, 13:55:53.211304",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=40,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:53.945944",0.7346401214599609
"19/09/2023, 13:55:53.992542",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=41,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:54.760941",0.7683992385864258
"19/09/2023, 13:55:54.826827",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=42,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:55.973782",1.1469550132751465
"19/09/2023, 13:55:56.035981",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=43,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:56.834818",0.7988369464874268
"19/09/2023, 13:55:56.896988",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=44,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:57.616106",0.7191183567047119
"19/09/2023, 13:55:57.662679",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=45,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:58.710748",1.0480687618255615
"19/09/2023, 13:55:58.772918",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=46,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:55:59.651042",0.8781239986419678
